question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
新疆和兵团的小贷公司都归这个办法管吗？,地方金融组织_新疆维吾尔自治区地方金融管理局,第三条,2023-10-01,2023-10-01,第三条本实施细则适用于新疆维吾尔自治区、新疆生产建 设兵团辖区内依法设立的小额贷款公司及其分支机构。 第二章设立、变更、终止 第四条小额贷款公司的名称由行政区划、字号、行业、组 织形式依次组成，其中行政区划指县级及以上行政区划的名称或 地名，组织形式为有限责任公司或股份有限公司。未经地方金融 管理机构批准，任何单位和个人不得设立小额贷款公司、从事或 变相经营小额贷款业务，不得在公司名称和经营范围中使用“小 额贷款”“小贷”或类似字样。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_5_0,policy,2025-12-31T15:17:27.375421,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
小贷公司名称必须包含哪些要素？,地方金融组织_新疆维吾尔自治区地方金融管理局,第四条,2023-10-01,2023-10-01,第三条本实施细则适用于新疆维吾尔自治区、新疆生产建 设兵团辖区内依法设立的小额贷款公司及其分支机构。 第二章设立、变更、终止 第四条小额贷款公司的名称由行政区划、字号、行业、组 织形式依次组成，其中行政区划指县级及以上行政区划的名称或 地名，组织形式为有限责任公司或股份有限公司。未经地方金融 管理机构批准，任何单位和个人不得设立小额贷款公司、从事或 变相经营小额贷款业务，不得在公司名称和经营范围中使用“小 额贷款”“小贷”或类似字样。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_5_1,policy,2025-12-31T15:17:27.375421,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
设立小贷公司需要经过金融局批准吗？,地方金融组织_新疆维吾尔自治区地方金融管理局,第四条,2023-10-01,2023-10-01,第三条本实施细则适用于新疆维吾尔自治区、新疆生产建 设兵团辖区内依法设立的小额贷款公司及其分支机构。 第二章设立、变更、终止 第四条小额贷款公司的名称由行政区划、字号、行业、组 织形式依次组成，其中行政区划指县级及以上行政区划的名称或 地名，组织形式为有限责任公司或股份有限公司。未经地方金融 管理机构批准，任何单位和个人不得设立小额贷款公司、从事或 变相经营小额贷款业务，不得在公司名称和经营范围中使用“小 额贷款”“小贷”或类似字样。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_5_2,policy,2025-12-31T15:17:27.375421,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
公司没批能用‘小贷’字样吗？,地方金融组织_新疆维吾尔自治区地方金融管理局,第四条,2023-10-01,2023-10-01,第三条本实施细则适用于新疆维吾尔自治区、新疆生产建 设兵团辖区内依法设立的小额贷款公司及其分支机构。 第二章设立、变更、终止 第四条小额贷款公司的名称由行政区划、字号、行业、组 织形式依次组成，其中行政区划指县级及以上行政区划的名称或 地名，组织形式为有限责任公司或股份有限公司。未经地方金融 管理机构批准，任何单位和个人不得设立小额贷款公司、从事或 变相经营小额贷款业务，不得在公司名称和经营范围中使用“小 额贷款”“小贷”或类似字样。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_5_3,policy,2025-12-31T15:17:27.375421,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
设立小额贷款公司需要符合哪些基本条件？,地方金融组织_新疆维吾尔自治区地方金融管理局,第五条,,,第五条设立小额贷款公司应符合《中华人民共和国公司法》 的规定，并具备下列条件： -3-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_6_0,policy,2025-12-31T15:17:29.209453,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
设立小额贷款公司需要哪些出资人条件？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条,2023-06-15,2023-07-01,（一）有符合规定条件的出资人，企业法人、自然人可依法 设立小额贷款公司。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_7_0,policy,2025-12-31T15:17:31.428350,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
小额贷款公司主发起人最低持股比例是多少？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条_1,2023-05-15,2023-06-01,1.小额贷款公司主发起人持股比例原则上不超过注册资本 总额的40%，不得低于注册资本总额的15%；主发起人及其关 联方合计持股比例不得超过注册资本总额的60%；其余单个自 然人、企业法人、其他经济组织及其关联方持股比例不得超过注 册资本总额的15%。单个出资人出资额不得低于100万元。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_8_0,policy,2025-12-31T15:17:40.873958,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
小额贷款公司主发起人最高持股比例能到多少？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条_2,2023-05-15,2023-06-01,1.小额贷款公司主发起人持股比例原则上不超过注册资本 总额的40%，不得低于注册资本总额的15%；主发起人及其关 联方合计持股比例不得超过注册资本总额的60%；其余单个自 然人、企业法人、其他经济组织及其关联方持股比例不得超过注 册资本总额的15%。单个出资人出资额不得低于100万元。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_8_1,policy,2025-12-31T15:17:40.873958,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
主发起人及其关联方合计持股上限是多少？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条_3,2023-05-15,2023-06-01,1.小额贷款公司主发起人持股比例原则上不超过注册资本 总额的40%，不得低于注册资本总额的15%；主发起人及其关 联方合计持股比例不得超过注册资本总额的60%；其余单个自 然人、企业法人、其他经济组织及其关联方持股比例不得超过注 册资本总额的15%。单个出资人出资额不得低于100万元。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_8_2,policy,2025-12-31T15:17:40.873958,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
单个自然人或企业投资小贷公司最多能占多少股？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条_4,2023-05-15,2023-06-01,1.小额贷款公司主发起人持股比例原则上不超过注册资本 总额的40%，不得低于注册资本总额的15%；主发起人及其关 联方合计持股比例不得超过注册资本总额的60%；其余单个自 然人、企业法人、其他经济组织及其关联方持股比例不得超过注 册资本总额的15%。单个出资人出资额不得低于100万元。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_8_3,policy,2025-12-31T15:17:40.873958,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
设立小贷公司单个出资人最少要出多少钱？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条_5,2023-05-15,2023-06-01,1.小额贷款公司主发起人持股比例原则上不超过注册资本 总额的40%，不得低于注册资本总额的15%；主发起人及其关 联方合计持股比例不得超过注册资本总额的60%；其余单个自 然人、企业法人、其他经济组织及其关联方持股比例不得超过注 册资本总额的15%。单个出资人出资额不得低于100万元。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_8_4,policy,2025-12-31T15:17:40.873958,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
法人股东成立时间要求几年以上？,地方金融组织_新疆维吾尔自治区地方金融管理局,第2条_1,2023-08-15,2023-09-01,2.法人股东须成立三年以上且管理规范、信用优良、实力雄 厚、有社会责任感；最近连续两个会计年度盈利，净资产为出资 额两倍以上，资产负债率低于60%。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_9_0,policy,2025-12-31T15:17:48.216904,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
法人股东最近几年要连续盈利？,地方金融组织_新疆维吾尔自治区地方金融管理局,第2条_2,2023-08-15,2023-09-01,2.法人股东须成立三年以上且管理规范、信用优良、实力雄 厚、有社会责任感；最近连续两个会计年度盈利，净资产为出资 额两倍以上，资产负债率低于60%。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_9_1,policy,2025-12-31T15:17:48.216904,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
法人股东净资产需达到出资额几倍？,地方金融组织_新疆维吾尔自治区地方金融管理局,第2条_3,2023-08-15,2023-09-01,2.法人股东须成立三年以上且管理规范、信用优良、实力雄 厚、有社会责任感；最近连续两个会计年度盈利，净资产为出资 额两倍以上，资产负债率低于60%。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_9_2,policy,2025-12-31T15:17:48.216904,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
法人股东资产负债率不能超过多少？,地方金融组织_新疆维吾尔自治区地方金融管理局,第2条_4,2023-08-15,2023-09-01,2.法人股东须成立三年以上且管理规范、信用优良、实力雄 厚、有社会责任感；最近连续两个会计年度盈利，净资产为出资 额两倍以上，资产负债率低于60%。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_9_3,policy,2025-12-31T15:17:48.216904,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
自然人股东出资需要哪些流动性资产证明？,地方金融组织_新疆维吾尔自治区地方金融管理局,第3条,2023-06-15,2023-07-01,3.自然人股东应当具有完全民事行为能力；信用良好，无贪 污、贿赂、侵占财产、挪用财产等犯罪记录；具备相应出资能力， 时段性资产如银行活期账户、定期存单、国债、股票等流动性较 强的资产近3个月日均余额合计至少达到出资额的60%以上。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_10_0,policy,2025-12-31T15:17:56.245448,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
自然人股东近3个月日均资产要达到出资额多少比例？,地方金融组织_新疆维吾尔自治区地方金融管理局,第3条,2023-06-15,2023-07-01,3.自然人股东应当具有完全民事行为能力；信用良好，无贪 污、贿赂、侵占财产、挪用财产等犯罪记录；具备相应出资能力， 时段性资产如银行活期账户、定期存单、国债、股票等流动性较 强的资产近3个月日均余额合计至少达到出资额的60%以上。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_10_1,policy,2025-12-31T15:17:56.245448,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
哪些犯罪记录会导致自然人不能当担保公司股东？,地方金融组织_新疆维吾尔自治区地方金融管理局,第3条,2023-06-15,2023-07-01,3.自然人股东应当具有完全民事行为能力；信用良好，无贪 污、贿赂、侵占财产、挪用财产等犯罪记录；具备相应出资能力， 时段性资产如银行活期账户、定期存单、国债、股票等流动性较 强的资产近3个月日均余额合计至少达到出资额的60%以上。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_10_2,policy,2025-12-31T15:17:56.245448,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
自然人股东必须具备完全民事行为能力吗？,地方金融组织_新疆维吾尔自治区地方金融管理局,第3条,2023-06-15,2023-07-01,3.自然人股东应当具有完全民事行为能力；信用良好，无贪 污、贿赂、侵占财产、挪用财产等犯罪记录；具备相应出资能力， 时段性资产如银行活期账户、定期存单、国债、股票等流动性较 强的资产近3个月日均余额合计至少达到出资额的60%以上。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_10_3,policy,2025-12-31T15:17:56.245448,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
自然人入股担保公司对信用记录有什么要求？,地方金融组织_新疆维吾尔自治区地方金融管理局,第3条,2023-06-15,2023-07-01,3.自然人股东应当具有完全民事行为能力；信用良好，无贪 污、贿赂、侵占财产、挪用财产等犯罪记录；具备相应出资能力， 时段性资产如银行活期账户、定期存单、国债、股票等流动性较 强的资产近3个月日均余额合计至少达到出资额的60%以上。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_10_4,policy,2025-12-31T15:17:56.245448,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
